AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2023;1;Andalucía;América;Argentina;2792.0;29014.0;10.4
2023;1;Andalucía;América;Bolivia;48.0;487.0;10.1
2023;1;Andalucía;América;Brasil;2599.0;18613.0;7.2
2023;1;Andalucía;América;Canadá;6206.0;41535.0;6.7
2023;1;Andalucía;América;Chile;608.0;4644.0;7.6
2023;1;Andalucía;América;Colombia;3092.0;37888.0;12.3
2023;1;Andalucía;América;Costa Rica;92.0;1024.0;11.1
2023;1;Andalucía;América;Ecuador;251.0;2964.0;11.8
2023;1;Andalucía;América;El Salvador;57.0;683.0;12.0
2023;1;Andalucía;América;Estados Unidos de América;26032.0;194774.0;7.5
2023;1;Andalucía;América;Guatemala;101.0;1113.0;11.0
2023;1;Andalucía;América;Honduras;143.0;1373.0;9.6
2023;1;Andalucía;América;México;2734.0;20275.0;7.4
2023;1;Andalucía;América;Nicaragua;227.0;2042.0;9.0
2023;1;Andalucía;América;Panamá;234.0;2243.0;9.6
2023;1;Andalucía;América;Paraguay;474.0;4002.0;8.4
2023;1;Andalucía;América;Perú;439.0;5390.0;12.3
2023;1;Andalucía;América;República Dominicana;113.0;995.0;8.8
2023;1;Andalucía;América;Uruguay;170.0;1946.0;11.4
2023;1;Andalucía;América;Venezuela;450.0;6890.0;15.3
2023;1;Andalucía;Asia;Arabia Saudí;719.0;7230.0;10.1
2023;1;Andalucía;Asia;Azerbaiyán;43.0;322.0;7.5
2023;1;Andalucía;Asia;Bahréin;65.0;607.0;9.3
2023;1;Andalucía;Asia;China;3665.0;21264.0;5.8
2023;1;Andalucía;Asia;Corea;3192.0;16118.0;5.0
2023;1;Andalucía;Asia;Emiratos Árabes Unidos;903.0;7044.0;7.8
2023;1;Andalucía;Asia;Filipinas;3823.0;17144.0;4.5
2023;1;Andalucía;Asia;India;2208.0;10810.0;4.9
2023;1;Andalucía;Asia;Indonesia;611.0;3748.0;6.1
2023;1;Andalucía;Asia;Irán;235.0;2138.0;9.1
2023;1;Andalucía;Asia;Israel;422.0;2631.0;6.2
2023;1;Andalucía;Asia;Japón;662.0;4835.0;7.3
2023;1;Andalucía;Asia;Jordania;50.0;385.0;7.7
2023;1;Andalucía;Asia;Kazajstán;177.0;1794.0;10.1
2023;1;Andalucía;Asia;Kuwait;226.0;2007.0;8.9
2023;1;Andalucía;Asia;Líbano;94.0;706.0;7.5
2023;1;Andalucía;Asia;Malasia;245.0;1392.0;5.7
2023;1;Andalucía;Asia;Myanmar;99.0;384.0;3.9
2023;1;Andalucía;Asia;Omán;96.0;1018.0;10.6
2023;1;Andalucía;Asia;Otros países de Asia;135.0;685.0;5.1
2023;1;Andalucía;Asia;Pakistán;122.0;827.0;6.8
2023;1;Andalucía;Asia;Qatar;263.0;2006.0;7.6
2023;1;Andalucía;Asia;Singapur;392.0;3419.0;8.7
2023;1;Andalucía;Asia;Sri Lanka;120.0;878.0;7.3
2023;1;Andalucía;Asia;Tailandia;1323.0;3811.0;2.9
2023;1;Andalucía;Asia;Uzbekistán;46.0;351.0;7.6
2023;1;Andalucía;Asia;Vietnam;197.0;1209.0;6.1
2023;1;Andalucía;Europa;Albania;148.0;1122.0;7.6
2023;1;Andalucía;Europa;Alemania;53284.0;598793.0;11.2
2023;1;Andalucía;Europa;Andorra;454.0;3622.0;8.0
2023;1;Andalucía;Europa;Armenia;77.0;550.0;7.1
2023;1;Andalucía;Europa;Austria;12096.0;105356.0;8.7
2023;1;Andalucía;Europa;Belarús;307.0;2452.0;8.0
2023;1;Andalucía;Europa;Bosnia y Herzegovina;63.0;299.0;4.7
2023;1;Andalucía;Europa;Bulgaria;1746.0;14139.0;8.1
2023;1;Andalucía;Europa;Bélgica;26042.0;215419.0;8.3
2023;1;Andalucía;Europa;Chipre;123.0;1022.0;8.3
